Order Reference	Order Reference	Order Date	Customer	Salesperson	Activities	Company	Total	Invoice Status
SHPAE_PC3316		2026-01-22 09:33:46	Customer Via Pet Central	OdooBot		Velocity International Trading LLC	289.910	Fully Invoiced
SHPAE_PC3315		2026-01-22 09:27:24	Customer Via Pet Central	OdooBot		Velocity International Trading LLC	369.600	Fully Invoiced
SHPAE_PC3314		2026-01-22 09:23:52	Customer Via Pet Central	OdooBot		Velocity International Trading LLC	275.400	Fully Invoiced
SHPAE_PC3313		2026-01-22 04:24:18	Customer Via Pet Central	OdooBot		Velocity International Trading LLC	239.700	Fully Invoiced
SHPAE_PC3312		2026-01-21 23:15:15	Customer Via Pet Central	OdooBot		Velocity International Trading LLC	330.120	Fully Invoiced
VSO/2601229	Shopify 18-01-2026	2026-01-21 19:18:28	Customer Via Pet Central	Finance		Velocity International Trading LLC	3,249.920	Fully Invoiced
VSO/2601238	Manual Order Shitin	2026-01-21 12:42:42	Cash Customer	Finance		Velocity International Trading LLC	163.496	Fully Invoiced
VSO/2601236	Order #10457156	2026-01-21 10:25:45	Saluki World Pets And Fodders Trading LLC	Finance		Velocity International Trading LLC	2,460.507	Fully Invoiced
VSO/2601235	Order #10457160	2026-01-21 10:12:27	Wahet Africano Pets Trading - Sole Proprietorship L.L.C	Finance		Velocity International Trading LLC	2,320.774	Fully Invoiced
VSO/2601234	Order #10457159	2026-01-20 18:12:05	KMK Pets L.L.C.	Finance		Velocity International Trading LLC	3,150.000	Fully Invoiced
VSO/2601220	Manual Order - 20-01-2026	2026-01-20 17:05:08	Olga Cherkasova Pets Trading LLC	Finance		Velocity International Trading LLC	2,379.941	Fully Invoiced
VSO/2601219	Amazon 14-01-2026 to 18-01-2026	2026-01-20 13:26:24	Customer Via Amazon	Finance		Velocity International Trading LLC	51,360.762	Fully Invoiced
VSO/2601216	9411371532930 / A04618801PN	2026-01-20 11:58:33	Marketplace E Commerce L.L.C	Finance		Velocity International Trading LLC	3,882.659	Fully Invoiced
VSO/2601214	9411403963177 / A04618800PN	2026-01-20 11:48:59	Marketplace E Commerce L.L.C	Finance		Velocity International Trading LLC	50,218.570	Fully Invoiced
VSO/2601212	Order #10457155	2026-01-20 10:53:02	Iris Pet Animal Accessories LLC	Finance		Velocity International Trading LLC	4,528.269	Fully Invoiced
VSO/2601211	Order #10457153	2026-01-20 10:46:01	Smart Pets Care LLC - S.C.P	Hafnas Nasar		Velocity International Trading LLC	472.500	Fully Invoiced
VSO/2601210	Order #10457158	2026-01-20 10:25:50	Waggin Tails Pets Supplements Trading LLC	Finance		Velocity International Trading LLC	938.700	Fully Invoiced
VSO/2601209	Order #10457154	2026-01-20 10:22:26	Paws & Relax Pets Salon LLC	Finance		Velocity International Trading LLC	1,697.850	Fully Invoiced
VSO/2601208	Order #10457152	2026-01-20 10:20:39	Max Zylen Online Seller	Hafnas Nasar		Velocity International Trading LLC	472.500	Fully Invoiced
VSO/2601207	Order #10457151	2026-01-20 10:19:10	The Pet Stop Trading LLC	Hafnas Nasar		Velocity International Trading LLC	3,307.500	Fully Invoiced
VSO/2601206	Order #10457157	2026-01-19 14:00:25	Haiwanati Pets Trading LLC	Finance		Velocity International Trading LLC	157.500	Fully Invoiced
VSO/2601205	Manual Order	2026-01-17 16:30:22	Green Desert Aquarium Trading LLC	Finance		Velocity International Trading LLC	6,231.750	Fully Invoiced
VSO/2601158	Manual INABA Order - Jan 2026	2026-01-17 13:08:35	Transnet General Trading LLC	Hafnas Nasar		Velocity International Trading LLC	101,823.235	Fully Invoiced
VSO/2601201	Order #10457106	2026-01-17 13:01:10	Zoo Al Shahama Animal Feeds	Hafnas Nasar		Velocity International Trading LLC	1,726.156	Fully Invoiced
VSO/2601204	INSTA CASH ORDER 14/1/2026	2026-01-17 12:35:35	Customer Via Instashop	Finance		Velocity International Trading LLC	373.553	Fully Invoiced
VSO/2601203	Order #10457145	2026-01-17 12:01:20	Dahabi Birds And Animals Food Trading LLC, Dahabi Birds And Animals Food Trading LLC	Finance		Velocity International Trading LLC	1,211.270	Fully Invoiced
VSO/2601202	Order #10457148	2026-01-17 11:30:01	Al Sadaf Al Abyadh Birds Feeds.TR	Hafnas Nasar		Velocity International Trading LLC	12,630.719	Fully Invoiced
VSO/2601200	Order #10457143	2026-01-17 10:06:55	PETS ZONE SALE OF ANIMALS ACCESSORIES AND SUPPLIES - L.L.C	Finance		Velocity International Trading LLC	1,636.425	Fully Invoiced
VSO/2601198	INSTA ORDER 13/1/2026	2026-01-16 19:24:16	Customer Via Instashop	Finance		Velocity International Trading LLC	1,187.313	Fully Invoiced
VSO/2601095	Elgrocer order 08/1/2026	2026-01-16 16:24:05	Elgrocer by Smiles	Finance		Velocity International Trading LLC	87.600	Fully Invoiced
VSO/2601188	Amazon 08-01-2026 to 13-01-2026	2026-01-16 16:08:29	Customer Via Amazon	Finance		Velocity International Trading LLC	41,563.330	Fully Invoiced
VSO/2601186	Order #10457149	2026-01-16 14:22:02	Haiwanati Pets Trading LLC	Finance		Velocity International Trading LLC	443.310	Fully Invoiced
VSO/2601069	Shopify 02-01-2026 (PC2971)	2026-01-16 12:58:40	Customer Via Pet Central	Finance		Velocity International Trading LLC	179.090	Fully Invoiced
VSO/2601132	Shopify 09-01-2026	2026-01-16 12:58:06	Customer Via Pet Central	Finance		Velocity International Trading LLC	3,913.160	Fully Invoiced
VSO/2601117	Shopify 08-01-2026	2026-01-16 12:30:40	Customer Via Pet Central	Finance		Velocity International Trading LLC	2,658.830	Fully Invoiced
VSO/2601185	Order #10457109	2026-01-16 10:53:49	Super Lucky Pets LLC	Finance		Velocity International Trading LLC	1,709.978	Fully Invoiced
VSO/2601184	Manual Order	2026-01-16 10:45:56	Aqua Pets Dreams Aquatic & Live Animals Trading LLC	Finance		Velocity International Trading LLC	393.750	Fully Invoiced
VSO/2601150	Order #10457127	2026-01-15 18:21:36	Petopia Pet Salon	Finance		Velocity International Trading LLC	10,374.549	Fully Invoiced
VSO/2601065	Order #10457080	2026-01-15 18:07:41	Iris Pet Animal Accessories LLC	Finance		Velocity International Trading LLC	2,734.943	Fully Invoiced
VSO/2601066	Order #10457081	2026-01-15 16:49:43	Iris Pet Animal Accessories LLC	Finance		Velocity International Trading LLC	9,451.664	Fully Invoiced
VSO/2601180	Manual INABA	2026-01-15 16:24:14	Pet Sky DMCC	Hafnas Nasar		Velocity International Trading LLC	719.964	Fully Invoiced
VSO/2601178	Order #10457089	2026-01-15 12:34:04	Aqua Pets Dreams Aquatic & Live Animals Trading LLC	Finance		Velocity International Trading LLC	1,648.059	Fully Invoiced
VSO/2601179	Order #10457141	2026-01-15 12:29:46	The Pets Club FZC LLC	Finance		Velocity International Trading LLC	260.600	Fully Invoiced
VSO/2601173	Manual Order	2026-01-15 12:08:18	Aqua Pet Care LLC	Hafnas Nasar		Velocity International Trading LLC	393.750	Fully Invoiced
VSO/2601172	Samples - INABA	2026-01-15 11:27:19	Pet Sky DMCC	Hafnas Nasar		Velocity International Trading LLC	0.000	Fully Invoiced
VSO/2601165	Order #10457137	2026-01-14 16:58:47	Al Tella Animal Feeds LLC	Finance		Velocity International Trading LLC	8,262.795	Fully Invoiced
VSO/2601091	Order #10457110	2026-01-14 16:57:56	Al Tella Animal Feeds LLC	Finance		Velocity International Trading LLC	1,614.426	Fully Invoiced
VSO/2601164	Order #10457139	2026-01-14 16:34:40	Y E S International Trading LLC	Finance		Velocity International Trading LLC	379.260	Fully Invoiced
VSO/2601163	Order #10457135	2026-01-14 16:28:04	Parabath Pet Food & Accessories Supplies	Finance		Velocity International Trading LLC	2,756.250	Fully Invoiced
VSO/2601162	Order #10457134	2026-01-14 16:25:07	Parabath Pet Food & Accessories Supplies	Finance		Velocity International Trading LLC	4,512.273	Fully Invoiced
VSO/2601160	Order #10457131	2026-01-14 16:12:48	Aqua Pet Care LLC	Hafnas Nasar		Velocity International Trading LLC	464.615	Fully Invoiced
VSO/2601159	Order #10457132	2026-01-14 15:08:09	Animal Zone LLC (Branch)	Finance		Velocity International Trading LLC	899.955	Fully Invoiced
VSO/2601102	Order #10457120	2026-01-14 15:05:43	Y E S International Trading LLC	Finance		Velocity International Trading LLC	265.440	Fully Invoiced
VSO/2601101	Order #10457118	2026-01-14 15:04:55	Y E S International Trading LLC	Finance		Velocity International Trading LLC	170.730	Fully Invoiced
VSO/2601149	Order #10457125	2026-01-14 14:58:37	Beauty Pets	Finance		Velocity International Trading LLC	2,080.386	Fully Invoiced
VSO/2601100	Order #10457117	2026-01-14 14:54:54	Al Waha Al Khadhra Ornamental Birds & Fish Br2	Finance		Velocity International Trading LLC	629.969	Fully Invoiced
VSO/2601109	Order #10457124	2026-01-14 14:53:58	Transnet General Trading LLC	Hafnas Nasar		Velocity International Trading LLC	518.028	Fully Invoiced
VSO/2601106	287285645325021 / A04512133PN	2026-01-14 14:52:49	Bandidos Retail LLC	Hafnas Nasar		Velocity International Trading LLC	32,156.850	Fully Invoiced
VSO/2601103	Order #10457121	2026-01-14 14:50:10	Petzi	Finance		Velocity International Trading LLC	2,302.020	Fully Invoiced
VSO/2601107	Order #10457122	2026-01-14 14:49:17	Modern Vet Hospital L.L.C.	Finance		Velocity International Trading LLC	555.660	Fully Invoiced
VSO/2601098	Order #10457116	2026-01-14 14:48:29	King Animal Planet-kcbg	Finance		Velocity International Trading LLC	1,537.830	Fully Invoiced
VSO/2601093	Order #10457113	2026-01-14 14:47:21	Smart Pets Aquatic & Live animals Trading	Finance		Velocity International Trading LLC	4,222.323	Fully Invoiced
VSO/2601089	Order #10457107	2026-01-14 14:09:29	Pet Street Trading - Sole Proprietorship L.L.C	Finance		Velocity International Trading LLC	2,853.827	Fully Invoiced
VSO/2601087	Order #10457104	2026-01-14 14:04:32	Haiwanati Pets Trading LLC	Finance		Velocity International Trading LLC	319.725	Fully Invoiced
VSO/2601092	Order #10457111	2026-01-14 14:03:43	Transnet General Trading LLC	Hafnas Nasar		Velocity International Trading LLC	1,386.483	Fully Invoiced
VSO/2601090	Order #10457108	2026-01-14 14:02:52	Perkpets Grooming Station & Pet shop	Finance		Velocity International Trading LLC	2,164.659	Fully Invoiced
VSO/2601088	Order #10457105	2026-01-14 14:01:46	AQUARIUM LIVES CENTRE - SOLE PROPRIETORSHIP L.L.C. - BRANCH	Finance		Velocity International Trading LLC	463.050	Fully Invoiced
VSO/2601086	Order #10457102	2026-01-14 14:00:52	Al Mushrif Aquarium Fish Trading LLC	Finance		Velocity International Trading LLC	1,316.280	Fully Invoiced
VSO/2601085	Order #10457097	2026-01-14 13:53:48	Aqua Pet Care LLC	Hafnas Nasar		Velocity International Trading LLC	976.626	Fully Invoiced
VSO/2601081	Order #10457094	2026-01-14 13:52:51	AQUARIUM LIVES CENTRE - SOLE PROPRIETORSHIP L.L.C. - BRANCH	Finance		Velocity International Trading LLC	735.504	Fully Invoiced
VSO/2601078	Order #10457087	2026-01-14 13:50:50	Pet Magnet	Finance		Velocity International Trading LLC	1,178.226	Fully Invoiced
VSO/2601157	Manual Order - 14-01-2026	2026-01-14 13:30:19	Olga Cherkasova Pets Trading LLC	Finance		Velocity International Trading LLC	3,073.424	Fully Invoiced
VSO/2601156	Order #10457133	2026-01-14 12:15:17	SNH Packing General Trading LLC	Finance		Velocity International Trading LLC	11,012.820	Fully Invoiced
VSO/2601137	SNH INABA Order - Jan 2026	2026-01-14 11:59:17	SNH Packing General Trading LLC	Finance		Velocity International Trading LLC	10,421.815	Fully Invoiced
VSO/2601135	INABA Manual Order - Jan 2026	2026-01-14 11:56:13	Pet Sky DMCC	Finance		Velocity International Trading LLC	41,395.628	Fully Invoiced
VSO/2601142	9411155090617 / A04485528PN	2026-01-14 11:50:21	Marketplace E Commerce L.L.C	Finance		Velocity International Trading LLC	23,983.860	Fully Invoiced
VSO/2601144	9411138568755 / A04526863PN	2026-01-14 11:43:53	Marketplace E Commerce L.L.C	Finance		Velocity International Trading LLC	7,552.230	Fully Invoiced
VSO/2601146	9411559899907 / A04526862PN	2026-01-14 11:37:56	Marketplace E Commerce L.L.C	Finance		Velocity International Trading LLC	13,705.209	Fully Invoiced
VSO/2601140	9411488926203 / A04485527PN	2026-01-14 11:34:08	Marketplace E Commerce L.L.C	Finance		Velocity International Trading LLC	88,498.391	Fully Invoiced
VSO/2601154	Order #10457140	2026-01-14 10:35:00	Animal Zone LLC	Finance		Velocity International Trading LLC	945.000	Fully Invoiced
VSO/2601147	INSTA ORDER 10/1/2026	2026-01-12 15:55:04	Customer Via Instashop	Finance		Velocity International Trading LLC	489.235	Fully Invoiced
VSO/2601148	INSTA CASH ORDER 10/1/2026	2026-01-12 15:53:23	Customer Via Instashop	Finance		Velocity International Trading LLC	58.849	Fully Invoiced
VSO/2601152	Order #10457130	2026-01-12 09:54:44	Petopia Pet Salon	Finance		Velocity International Trading LLC	938.700	Fully Invoiced
VSO/2601151	Order #10457129	2026-01-12 09:52:38	Meowtropolis Cat Cafe	Finance		Velocity International Trading LLC	551.250	Fully Invoiced
VSO/2601062	INSTA ORDER 6/1/2026	2026-01-10 17:15:11	Customer Via Instashop	Finance		Velocity International Trading LLC	2,658.223	Fully Invoiced
VSO/2500883	Hafnas office aquarium	2026-01-10 17:14:19	Cash Customer	Finance		Velocity International Trading LLC	0.000	Fully Invoiced
VSO/2601108	Order #10457123	2026-01-10 17:11:54	Pet Sky DMCC	Hafnas Nasar		Velocity International Trading LLC	19,845.000	Fully Invoiced
VSO/2601121	Amazon 07-01-2026	2026-01-10 16:10:45	Customer Via Amazon	Finance		Velocity International Trading LLC	7,137.081	Fully Invoiced
VSO/2601115	Amazon 06-01-2026	2026-01-10 15:12:55	Customer Via Amazon	Finance		Velocity International Trading LLC	8,758.691	Fully Invoiced
VSO/2601123	INSTA CASH ORDER 9/1/2026	2026-01-10 14:54:38	Customer Via Instashop	Finance		Velocity International Trading LLC	273.419	Fully Invoiced
VSO/2601105	Shopify 07-01-2026	2026-01-10 14:54:36	Customer Via Pet Central	Finance		Velocity International Trading LLC	3,765.480	Fully Invoiced
VSO/2601063	INSTA CASH ORDER 6/1/2026	2026-01-10 14:37:21	Customer Via Instashop	Finance		Velocity International Trading LLC	250.255	Fully Invoiced
VSO/2601096	INSTA ORDER 8/1/2026	2026-01-10 14:36:19	Customer Via Instashop	Finance		Velocity International Trading LLC	1,253.666	Fully Invoiced
VSO/2601055	INSTA ORDER 5/1/2026	2026-01-10 14:34:03	Customer Via Instashop	Finance		Velocity International Trading LLC	558.427	Fully Invoiced
VSO/2601046	INSTA ORDER 4/1/2026	2026-01-10 14:33:18	Customer Via Instashop	Finance		Velocity International Trading LLC	1,645.741	Fully Invoiced
VSO/2601044	INSTA ORDER 3/1/2026	2026-01-10 14:31:02	Customer Via Instashop	Finance		Velocity International Trading LLC	659.266	Fully Invoiced
VSO/2601128	Manual Order	2026-01-10 12:56:57	The Pet Stop Trading LLC	Hafnas Nasar		Velocity International Trading LLC	787.500	Fully Invoiced
VSO/2601127	Order #10457126	2026-01-10 10:53:14	Max Zylen Online Seller	Hafnas Nasar		Velocity International Trading LLC	630.000	Fully Invoiced
VSO/2601126	Order #10457128	2026-01-10 10:50:08	Haiwanati Pets Trading LLC	Finance		Velocity International Trading LLC	248.850	Fully Invoiced
VSO/2601125	Manual Order - Flipper	2026-01-09 18:10:01	Think Fish LLC	Finance		Velocity International Trading LLC	2,170.350	Fully Invoiced
VSO/2601124	CAREEM ORDER 9/1/2026	2026-01-09 15:19:54	Customer Via Careem	Finance		Velocity International Trading LLC	112.770	Fully Invoiced
VSO/2601113	Manual Order	2026-01-09 11:32:56	BPK Global Trading LLC	Hafnas Nasar		Velocity International Trading LLC	262.500	Fully Invoiced
VSO/2601111	Manul Order	2026-01-09 10:47:49	Aqua Pets Dreams Aquatic & Live Animals Trading LLC	Finance		Velocity International Trading LLC	472.500	Fully Invoiced
VSO/2601099	Final consignment invoice	2026-01-08 15:11:02	BPK Global Trading LLC	Hafnas Nasar		Velocity International Trading LLC	667.140	Fully Invoiced
VSO/2601097	Order #10457114	2026-01-08 11:45:51	Smart Pets Aquatic & Live animals Trading	Finance		Velocity International Trading LLC	787.500	Fully Invoiced
VSO/2601077	INSTA ORDER 7/1/2026	2026-01-08 11:12:23	Customer Via Instashop	Finance		Velocity International Trading LLC	1,655.810	Fully Invoiced
VSO/2601082	Order #10457095	2026-01-07 16:06:43	Animal Zone LLC	Finance		Velocity International Trading LLC	3,489.948	Fully Invoiced
VSO/2601083	Order #10457088	2026-01-07 15:54:29	Luxury Pets Grooming LLC	Finance		Velocity International Trading LLC	630.000	Fully Invoiced
VSO/2601054	Shopify 04-01-2026	2026-01-07 14:47:22	Customer Via Pet Central	Finance		Velocity International Trading LLC	4,727.410	Fully Invoiced
VSO/2601058	Shopify 03-01-2026	2026-01-07 14:43:50	Customer Via Pet Central	Finance		Velocity International Trading LLC	4,496.970	Fully Invoiced
VSO/2601071	Order #10457115	2026-01-07 10:27:10	Pet Zone LLC	Hafnas Nasar		Velocity International Trading LLC	46,530.750	Fully Invoiced
VSO/2601070	Order #10457112	2026-01-07 10:19:43	Max Zylen Online Seller	Hafnas Nasar		Velocity International Trading LLC	472.500	Fully Invoiced
VSO/2601060	Shopify 02-01-2026	2026-01-06 19:19:50	Customer Via Pet Central	Finance		Velocity International Trading LLC	6,892.200	Fully Invoiced
VSO/2601068	Amazon 05-01-2026	2026-01-06 19:04:40	Customer Via Amazon	Finance		Velocity International Trading LLC	9,293.281	Fully Invoiced
VSO/2601061	Intersand Manual Order	2026-01-06 11:13:25	Pet Sky DMCC	Hafnas Nasar		Velocity International Trading LLC	19,845.000	Fully Invoiced
VSO/2601033	Shopify 01-01-2026	2026-01-05 18:19:53	Customer Via Pet Central	Finance		Velocity International Trading LLC	3,289.140	Fully Invoiced
VSO/2601052	Amazon 01-01-2026 to 04-01-2026	2026-01-05 18:07:13	Customer Via Amazon	Finance		Velocity International Trading LLC	33,293.381	Fully Invoiced
VSO/2601045	CAREEM ORDER 4/1/2026	2026-01-05 13:45:59	Customer Via Careem	Finance		Velocity International Trading LLC	85.991	Fully Invoiced
VSO/2601030	Shopify 31-12-2025	2026-01-03 17:58:47	Customer Via Pet Central	Finance		Velocity International Trading LLC	1,911.060	Fully Invoiced
VSO/2601024	INSTA ORDER 2/1/2026	2026-01-03 17:56:05	Customer Via Instashop	Finance		Velocity International Trading LLC	1,987.307	Fully Invoiced
VSO/2601026	Amazon 30-12-2025 and 31-12-2025	2026-01-03 17:54:35	Customer Via Amazon	Finance		Velocity International Trading LLC	11,709.389	Fully Invoiced
VSO/2601023	INSTA ORDER 30/12/2025	2026-01-03 17:51:22	Customer Via Instashop	Finance	Exception	Velocity International Trading LLC	1,575.362	Fully Invoiced
VSO/2601028	Shopify 30-12-2025	2026-01-03 17:42:17	Customer Via Pet Central	Finance		Velocity International Trading LLC	5,089.750	Fully Invoiced
VSO/2501007	Shopify 29-12-2025	2026-01-03 17:40:02	Customer Via Pet Central	Finance		Velocity International Trading LLC	6,459.620	Fully Invoiced
VSO/2601043	Mr. Ali Hussain	2026-01-03 12:47:33	Cash Customer	Finance		Velocity International Trading LLC	210.000	Fully Invoiced
VSO/2601042	Order #10457098	2026-01-03 12:02:29	BPK Global Trading LLC	Hafnas Nasar		Velocity International Trading LLC	1,190.700	Fully Invoiced
VSO/2601038	Order #10457099	2026-01-03 11:43:37	Y E S International Trading LLC	Finance		Velocity International Trading LLC	743.400	Fully Invoiced
VSO/2601039	Order #10457100	2026-01-03 10:43:44	Y E S International Trading LLC	Finance		Velocity International Trading LLC	787.500	Fully Invoiced
VSO/2601040	Order #10457101	2026-01-03 10:42:50	Y E S International Trading LLC	Finance		Velocity International Trading LLC	472.500	Fully Invoiced
VSO/2601037	CAREEM ORDER 29/12/2025	2026-01-02 17:37:26	Customer Via Careem	Finance		Velocity International Trading LLC	202.002	Fully Invoiced
VSO/2601036	CAREEM ORDER 29/12/2025	2026-01-02 17:33:21	Customer Via Careem	Finance		Velocity International Trading LLC	217.005	Fully Invoiced
VSO/2601035	CAREEM ORDER 28/12/2025	2026-01-02 17:28:44	Customer Via Careem	Finance		Velocity International Trading LLC	99.992	Fully Invoiced
VSO/2601034	CAREEM ORDER 28/12/2025	2026-01-02 17:26:34	Customer Via Careem	Finance		Velocity International Trading LLC	115.001	Fully Invoiced
VSO/2501022	INSTA ORDER 29/12/2025	2026-01-02 16:56:15	Customer Via Instashop	Finance		Velocity International Trading LLC	3,031.955	Fully Invoiced
VSO/2501021	INSTA ORDER 28/12/2025	2026-01-02 16:54:51	Customer Via Instashop	Finance		Velocity International Trading LLC	1,262.123	Fully Invoiced
VSO/2500766	Dispated on 12/9/2025	2026-01-02 15:07:04	Pet Central LLC	Hafnas Nasar		Velocity International Trading LLC	24,609.400	Fully Invoiced
VSO/2501003	Shopify 28-12-2025	2025-12-30 15:36:10	Customer Via Pet Central	Finance		Velocity International Trading LLC	4,078.120	Fully Invoiced
